,0,1
506,work begin 2009-07-12 12:30:28.070363 r2,work begin 2009-07-12 12:42:13.001833 r2
507,work begin 2009-07-12 12:42:13.001833 r2,work begin 2009-07-12 13:43:51.056361 r2
508,work begin 2009-07-12 13:43:51.056361 r2,work begin 2009-07-12 18:51:37.070241 r2
509,work begin 2009-07-12 18:51:37.070241 r2,work begin 2009-07-12 19:24:10.075007 r2
510,work begin 2009-07-12 19:24:10.075007 r2,work begin 2009-07-12 22:21:14.066228 r2
511,work begin 2009-07-12 22:21:14.066228 r2,work begin 2009-07-12 23:00:48.086464 r2
512,work begin 2009-07-12 23:00:48.086464 r2,sleep begin 2009-07-13 00:10:17.019811 r2
513,sleep begin 2009-07-13 00:10:17.019811 r2,wakeup begin 2009-07-13 07:00:03.047934 r2
514,wakeup begin 2009-07-13 07:00:03.047934 r2,shower begin 2009-07-13 07:04:26.042423 r2
515,shower begin 2009-07-13 07:04:26.042423 r2,work begin 2009-07-13 12:24:28.015618 r2
516,work begin 2009-07-13 12:24:28.015618 r2,work begin 2009-07-13 12:39:57.079124 r2
517,work begin 2009-07-13 12:39:57.079124 r2,work begin 2009-07-13 12:43:06.024321 r2
518,work begin 2009-07-13 12:43:06.024321 r2,work begin 2009-07-13 13:40:49.033298 r2
519,work begin 2009-07-13 13:40:49.033298 r2,work begin 2009-07-13 14:49:18.073661 r2
520,work begin 2009-07-13 14:49:18.073661 r2,work begin 2009-07-13 16:57:45.073165 r2
521,work begin 2009-07-13 16:57:45.073165 r2,shower begin 2009-07-14 07:30:08.008367 r2
522,shower begin 2009-07-14 07:30:08.008367 r2,work begin 2009-07-14 07:49:48.017522 r2
523,work begin 2009-07-14 07:49:48.017522 r2,shower begin 2009-07-15 08:02:08.000636 r2
524,shower begin 2009-07-15 08:02:08.000636 r2,work begin 2009-07-15 08:22:48.056986 r2
525,work begin 2009-07-15 08:22:48.056986 r2,work begin 2009-07-15 08:25:23.027939 r2
526,work begin 2009-07-15 08:25:23.027939 r2,work begin 2009-07-15 12:25:57.026393 r2
527,work begin 2009-07-15 12:25:57.026393 r2,work begin 2009-07-15 12:32:10.088467 r2
528,work begin 2009-07-15 12:32:10.088467 r2,work begin 2009-07-15 13:48:55.038276 r2
529,work begin 2009-07-15 13:48:55.038276 r2,work begin 2009-07-15 14:22:16.043896 r2
530,work begin 2009-07-15 14:22:16.043896 r2,work begin 2009-07-15 14:45:59.098887 r2
531,work begin 2009-07-15 14:45:59.098887 r2,work begin 2009-07-15 14:58:11.063272 r2
532,work begin 2009-07-15 14:58:11.063272 r2,work begin 2009-07-15 15:01:44.070143 r2
533,work begin 2009-07-15 15:01:44.070143 r2,work begin 2009-07-15 17:35:24.056063 r2
534,work begin 2009-07-15 17:35:24.056063 r2,work begin 2009-07-15 17:43:09.093362 r2
535,work begin 2009-07-15 17:43:09.093362 r2,work begin 2009-07-15 18:05:57.024084 r2
536,work begin 2009-07-15 18:05:57.024084 r2,work begin 2009-07-15 18:07:40.060297 r2
537,work begin 2009-07-15 18:07:40.060297 r2,work begin 2009-07-15 18:09:57.020457 r2
538,work begin 2009-07-15 18:09:57.020457 r2,work begin 2009-07-15 20:24:44.045949 r2
539,work begin 2009-07-15 20:24:44.045949 r2,sleep begin 2009-07-15 23:57:47.057413 r2
540,sleep begin 2009-07-15 23:57:47.057413 r2,wakeup begin 2009-07-16 06:50:05.048777 r2
541,wakeup begin 2009-07-16 06:50:05.048777 r2,shower begin 2009-07-16 07:02:19.007303 r2
542,shower begin 2009-07-16 07:02:19.007303 r2,work begin 2009-07-16 08:13:22.008007 r2
543,work begin 2009-07-16 08:13:22.008007 r2,work begin 2009-07-16 10:07:54.026073 r2
544,work begin 2009-07-16 10:07:54.026073 r2,work begin 2009-07-16 11:23:57.091181 r2
545,work begin 2009-07-16 11:23:57.091181 r2,work begin 2009-07-16 11:36:45.092988 r2
546,work begin 2009-07-16 11:36:45.092988 r2,work begin 2009-07-16 14:48:16.087247 r2
547,work begin 2009-07-16 14:48:16.087247 r2,work begin 2009-07-16 18:39:51.033636 r2
548,work begin 2009-07-16 18:39:51.033636 r2,work begin 2009-07-16 18:43:34.045619 r2
549,work begin 2009-07-16 18:43:34.045619 r2,work begin 2009-07-16 20:07:20.014609 r2
550,work begin 2009-07-16 20:07:20.014609 r2,work begin 2009-07-16 20:18:40.029305 r2
551,work begin 2009-07-16 20:18:40.029305 r2,work begin 2009-07-16 22:06:46.047156 r2
552,work begin 2009-07-16 22:06:46.047156 r2,work begin 2009-07-16 22:52:34.093287 r2
553,work begin 2009-07-16 22:52:34.093287 r2,work begin 2009-07-16 23:29:33.057228 r2
554,work begin 2009-07-16 23:29:33.057228 r2,sleep begin 2009-07-16 23:54:41.049984 r2
555,sleep begin 2009-07-16 23:54:41.049984 r2,wakeup begin 2009-07-17 06:50:04.018644 r2
556,wakeup begin 2009-07-17 06:50:04.018644 r2,shower begin 2009-07-17 07:19:18.070029 r2
557,shower begin 2009-07-17 07:19:18.070029 r2,work begin 2009-07-17 07:44:43.040567 r2
558,work begin 2009-07-17 07:44:43.040567 r2,work begin 2009-07-17 08:21:36.097353 r2
559,work begin 2009-07-17 08:21:36.097353 r2,work begin 2009-07-17 12:21:30.004132 r2
560,work begin 2009-07-17 12:21:30.004132 r2,work begin 2009-07-17 13:00:38.008141 r2
561,work begin 2009-07-17 13:00:38.008141 r2,work begin 2009-07-17 13:55:23.067212 r2
562,work begin 2009-07-17 13:55:23.067212 r2,work begin 2009-07-17 14:19:11.074159 r2
563,work begin 2009-07-17 14:19:11.074159 r2,work begin 2009-07-17 18:31:33.019371 r2
564,work begin 2009-07-17 18:31:33.019371 r2,work begin 2009-07-17 19:04:12.060987 r2
565,work begin 2009-07-17 19:04:12.060987 r2,work begin 2009-07-17 19:53:56.032725 r2
566,work begin 2009-07-17 19:53:56.032725 r2,shower begin 2009-07-18 09:55:16.024815 r2
567,shower begin 2009-07-18 09:55:16.024815 r2,work begin 2009-07-19 18:48:13.003728 r2
568,work begin 2009-07-19 18:48:13.003728 r2,shower begin 2009-07-20 08:21:33.070325 r2
569,shower begin 2009-07-20 08:21:33.070325 r2,work begin 2009-07-20 08:27:49.008731 r2
570,work begin 2009-07-20 08:27:49.008731 r2,work begin 2009-07-20 08:32:02.083477 r2
571,work begin 2009-07-20 08:32:02.083477 r2,work begin 2009-07-20 17:21:46.051372 r2
572,work begin 2009-07-20 17:21:46.051372 r2,work begin 2009-07-20 17:28:17.084535 r2
573,work begin 2009-07-20 17:28:17.084535 r2,work begin 2009-07-20 17:35:55.075895 r2
574,work begin 2009-07-20 17:35:55.075895 r2,work begin 2009-07-20 17:40:18.007267 r2
575,work begin 2009-07-20 17:40:18.007267 r2,work begin 2009-07-20 17:52:52.032581 r2
576,work begin 2009-07-20 17:52:52.032581 r2,work begin 2009-07-20 18:14:02.045321 r2
577,work begin 2009-07-20 18:14:02.045321 r2,work begin 2009-07-20 18:27:58.002227 r2
578,work begin 2009-07-20 18:27:58.002227 r2,work begin 2009-07-20 20:30:47.023642 r2
579,work begin 2009-07-20 20:30:47.023642 r2,work begin 2009-07-20 20:51:31.066242 r2
580,work begin 2009-07-20 20:51:31.066242 r2,work begin 2009-07-20 22:01:47.031358 r2
581,work begin 2009-07-20 22:01:47.031358 r2,work begin 2009-07-20 23:12:47.078892 r2
582,work begin 2009-07-20 23:12:47.078892 r2,work begin 2009-07-20 23:17:52.002172 r2
583,work begin 2009-07-20 23:17:52.002172 r2,sleep begin 2009-07-21 00:01:31.054347 r2
584,sleep begin 2009-07-21 00:01:31.054347 r2,wakeup begin 2009-07-21 06:50:08.000598 r2
585,wakeup begin 2009-07-21 06:50:08.000598 r2,shower begin 2009-07-21 07:15:57.044948 r2
586,shower begin 2009-07-21 07:15:57.044948 r2,work begin 2009-07-21 08:01:40.091019 r2
587,work begin 2009-07-21 08:01:40.091019 r2,work begin 2009-07-21 12:21:26.001057 r2
588,work begin 2009-07-21 12:21:26.001057 r2,work begin 2009-07-21 12:25:39.098262 r2
589,work begin 2009-07-21 12:25:39.098262 r2,work begin 2009-07-21 12:35:30.018539 r2
590,work begin 2009-07-21 12:35:30.018539 r2,work begin 2009-07-21 12:51:30.070093 r2
591,work begin 2009-07-21 12:51:30.070093 r2,work begin 2009-07-21 14:03:00.085858 r2
592,work begin 2009-07-21 14:03:00.085858 r2,work begin 2009-07-21 14:05:11.028295 r2
593,work begin 2009-07-21 14:05:11.028295 r2,work begin 2009-07-21 16:44:51.070343 r2
594,work begin 2009-07-21 16:44:51.070343 r2,work begin 2009-07-21 16:51:26.069281 r2
595,work begin 2009-07-21 16:51:26.069281 r2,work begin 2009-07-21 18:20:57.078928 r2
596,work begin 2009-07-21 18:20:57.078928 r2,work begin 2009-07-21 18:23:19.033613 r2
597,work begin 2009-07-21 18:23:19.033613 r2,work begin 2009-07-21 19:17:34.002401 r2
598,work begin 2009-07-21 19:17:34.002401 r2,work begin 2009-07-21 19:34:29.069492 r2
599,work begin 2009-07-21 19:34:29.069492 r2,work begin 2009-07-21 19:39:11.086801 r2
600,work begin 2009-07-21 19:39:11.086801 r2,work begin 2009-07-21 20:05:25.057301 r2
601,work begin 2009-07-21 20:05:25.057301 r2,work begin 2009-07-21 21:10:08.007287 r2
602,work begin 2009-07-21 21:10:08.007287 r2,sleep begin 2009-07-22 00:34:48.048161 r2
603,sleep begin 2009-07-22 00:34:48.048161 r2,wakeup begin 2009-07-22 06:49:51.005939 r2
604,wakeup begin 2009-07-22 06:49:51.005939 r2,shower begin 2009-07-22 07:02:44.004892 r2
605,shower begin 2009-07-22 07:02:44.004892 r2,shower begin 2009-07-23 09:31:06.053253 r2
606,shower begin 2009-07-23 09:31:06.053253 r2,work begin 2009-07-23 11:44:11.063684 r2
607,work begin 2009-07-23 11:44:11.063684 r2,work begin 2009-07-23 11:49:07.052014 r2
608,work begin 2009-07-23 11:49:07.052014 r2,work begin 2009-07-23 11:59:27.003446 r2
609,work begin 2009-07-23 11:59:27.003446 r2,work begin 2009-07-23 12:22:04.043438 r2
610,work begin 2009-07-23 12:22:04.043438 r2,work begin 2009-07-23 22:17:27.072371 r2
611,work begin 2009-07-23 22:17:27.072371 r2,work begin 2009-07-24 14:21:25.005691 r2
612,work begin 2009-07-24 14:21:25.005691 r2,work begin 2009-07-25 09:58:17.075453 r2
613,work begin 2009-07-25 09:58:17.075453 r2,work begin 2009-07-25 10:16:46.002411 r2
614,work begin 2009-07-25 10:16:46.002411 r2,work begin 2009-07-25 10:25:51.002985 r2
615,work begin 2009-07-25 10:25:51.002985 r2,work begin 2009-07-25 10:50:23.066521 r2
616,work begin 2009-07-25 10:50:23.066521 r2,work begin 2009-07-25 11:09:21.003294 r2
617,work begin 2009-07-25 11:09:21.003294 r2,work begin 2009-07-25 12:59:40.020708 r2
618,work begin 2009-07-25 12:59:40.020708 r2,work begin 2009-07-25 14:23:41.080151 r2
619,work begin 2009-07-25 14:23:41.080151 r2,work begin 2009-07-25 14:50:49.006313 r2
620,work begin 2009-07-25 14:50:49.006313 r2,work begin 2009-07-25 15:39:18.087662 r2
621,work begin 2009-07-25 15:39:18.087662 r2,work begin 2009-07-25 16:13:32.052647 r2
622,work begin 2009-07-25 16:13:32.052647 r2,work begin 2009-07-25 16:55:50.046017 r2
623,work begin 2009-07-25 16:55:50.046017 r2,work begin 2009-07-25 18:15:20.054814 r2
624,work begin 2009-07-25 18:15:20.054814 r2,work begin 2009-07-25 18:34:13.010821 r2
625,work begin 2009-07-25 18:34:13.010821 r2,work begin 2009-07-25 18:45:59.070676 r2
626,work begin 2009-07-25 18:45:59.070676 r2,work begin 2009-07-25 18:52:15.037006 r2
627,work begin 2009-07-25 18:52:15.037006 r2,work begin 2009-07-25 20:23:14.026973 r2
628,work begin 2009-07-25 20:23:14.026973 r2,work begin 2009-07-25 21:29:41.003381 r2
629,work begin 2009-07-25 21:29:41.003381 r2,work begin 2009-07-25 21:45:40.069523 r2
630,work begin 2009-07-25 21:45:40.069523 r2,work begin 2009-07-25 22:13:31.073281 r2
631,work begin 2009-07-25 22:13:31.073281 r2,work begin 2009-07-25 22:29:59.001875 r2
632,work begin 2009-07-25 22:29:59.001875 r2,work begin 2009-07-26 00:19:26.078205 r2
633,work begin 2009-07-26 00:19:26.078205 r2,sleep begin 2009-07-26 01:05:10.082543 r2
634,sleep begin 2009-07-26 01:05:10.082543 r2,wakeup begin 2009-07-26 10:54:59.065238 r2
635,wakeup begin 2009-07-26 10:54:59.065238 r2,work begin 2009-07-26 11:01:31.096189 r2
636,work begin 2009-07-26 11:01:31.096189 r2,work begin 2009-07-26 11:28:25.014851 r2
637,work begin 2009-07-26 11:28:25.014851 r2,work begin 2009-07-26 12:05:17.082846 r2
638,work begin 2009-07-26 12:05:17.082846 r2,work begin 2009-07-26 12:18:26.022272 r2
639,work begin 2009-07-26 12:18:26.022272 r2,work begin 2009-07-26 12:43:49.093357 r2
640,work begin 2009-07-26 12:43:49.093357 r2,work begin 2009-07-26 14:01:58.089205 r2
641,work begin 2009-07-26 14:01:58.089205 r2,work begin 2009-07-26 14:50:38.023777 r2
642,work begin 2009-07-26 14:50:38.023777 r2,work begin 2009-07-26 15:28:25.083427 r2
643,work begin 2009-07-26 15:28:25.083427 r2,sleep begin 2009-07-26 17:03:23.073814 r2
644,sleep begin 2009-07-26 17:03:23.073814 r2,wakeup begin 2009-07-26 17:50:07.061419 r2
645,wakeup begin 2009-07-26 17:50:07.061419 r2,work begin 2009-07-26 17:52:43.071141 r2
646,work begin 2009-07-26 17:52:43.071141 r2,work begin 2009-07-26 18:09:54.082898 r2
647,work begin 2009-07-26 18:09:54.082898 r2,work begin 2009-07-26 18:14:40.080909 r2
648,work begin 2009-07-26 18:14:40.080909 r2,work begin 2009-07-26 18:27:39.073005 r2
649,work begin 2009-07-26 18:27:39.073005 r2,work begin 2009-07-26 18:35:36.048338 r2
650,work begin 2009-07-26 18:35:36.048338 r2,work begin 2009-07-26 18:44:48.007527 r2
651,work begin 2009-07-26 18:44:48.007527 r2,work begin 2009-07-26 18:47:26.070925 r2
652,work begin 2009-07-26 18:47:26.070925 r2,work begin 2009-07-26 18:58:08.045565 r2
653,work begin 2009-07-26 18:58:08.045565 r2,work begin 2009-07-26 21:46:47.022067 r2
654,work begin 2009-07-26 21:46:47.022067 r2,work begin 2009-07-26 21:57:21.028479 r2
655,work begin 2009-07-26 21:57:21.028479 r2,work begin 2009-07-26 23:11:42.086217 r2
656,work begin 2009-07-26 23:11:42.086217 r2,work begin 2009-07-26 23:22:05.039741 r2
657,work begin 2009-07-26 23:22:05.039741 r2,work begin 2009-07-26 23:26:55.027368 r2
658,work begin 2009-07-26 23:26:55.027368 r2,sleep begin 2009-07-27 00:26:57.089269 r2
659,sleep begin 2009-07-27 00:26:57.089269 r2,wakeup begin 2009-07-27 00:37:49.063403 r2
660,wakeup begin 2009-07-27 00:37:49.063403 r2,sleep begin 2009-07-27 00:39:49.013948 r2
661,sleep begin 2009-07-27 00:39:49.013948 r2,wakeup begin 2009-07-27 06:05:04.031113 r2
662,wakeup begin 2009-07-27 06:05:04.031113 r2,shower begin 2009-07-27 06:19:56.046703 r2
663,shower begin 2009-07-27 06:19:56.046703 r2,work begin 2009-07-27 06:47:55.008039 r2
664,work begin 2009-07-27 06:47:55.008039 r2,work begin 2009-07-27 07:26:18.010418 r2
665,work begin 2009-07-27 07:26:18.010418 r2,work begin 2009-07-27 10:01:15.015417 r2
666,work begin 2009-07-27 10:01:15.015417 r2,work begin 2009-07-27 10:48:56.005553 r2
667,work begin 2009-07-27 10:48:56.005553 r2,work begin 2009-07-27 13:16:05.096706 r2
668,work begin 2009-07-27 13:16:05.096706 r2,work begin 2009-07-27 13:26:45.038051 r2
669,work begin 2009-07-27 13:26:45.038051 r2,work begin 2009-07-27 14:30:36.003039 r2
670,work begin 2009-07-27 14:30:36.003039 r2,work begin 2009-07-27 15:02:33.084467 r2
671,work begin 2009-07-27 15:02:33.084467 r2,work begin 2009-07-27 16:25:18.061948 r2
672,work begin 2009-07-27 16:25:18.061948 r2,work begin 2009-07-27 16:48:03.045426 r2
673,work begin 2009-07-27 16:48:03.045426 r2,work begin 2009-07-27 17:45:27.087395 r2
674,work begin 2009-07-27 17:45:27.087395 r2,work begin 2009-07-29 17:43:33.003313 r2
675,work begin 2009-07-29 17:43:33.003313 r2,work begin 2009-07-29 17:57:11.009109 r2
676,work begin 2009-07-29 17:57:11.009109 r2,work begin 2009-07-29 18:10:49.006202 r2
677,work begin 2009-07-29 18:10:49.006202 r2,work begin 2009-07-29 18:27:16.072877 r2
678,work begin 2009-07-29 18:27:16.072877 r2,work begin 2009-07-29 19:45:16.025797 r2
679,work begin 2009-07-29 19:45:16.025797 r2,work begin 2009-07-29 20:12:00.024601 r2
680,work begin 2009-07-29 20:12:00.024601 r2,work begin 2009-07-29 21:57:07.091771 r2
681,work begin 2009-07-29 21:57:07.091771 r2,work begin 2009-07-29 22:01:15.020664 r2
682,work begin 2009-07-29 22:01:15.020664 r2,work begin 2009-07-29 22:03:17.095991 r2
683,work begin 2009-07-29 22:03:17.095991 r2,work begin 2009-07-29 22:06:04.058807 r2
684,work begin 2009-07-29 22:06:04.058807 r2,work begin 2009-07-29 22:16:03.015249 r2
685,work begin 2009-07-29 22:16:03.015249 r2,work begin 2009-07-29 22:19:03.090698 r2
686,work begin 2009-07-29 22:19:03.090698 r2,work begin 2009-07-29 22:34:44.003088 r2
687,work begin 2009-07-29 22:34:44.003088 r2,work begin 2009-07-29 23:20:22.026459 r2
688,work begin 2009-07-29 23:20:22.026459 r2,sleep begin 2009-07-29 23:59:20.040717 r2
689,sleep begin 2009-07-29 23:59:20.040717 r2,wakeup begin 2009-07-30 07:00:02.055601 r2
690,wakeup begin 2009-07-30 07:00:02.055601 r2,shower begin 2009-07-30 07:02:43.005099 r2
691,shower begin 2009-07-30 07:02:43.005099 r2,work begin 2009-07-30 07:27:43.020989 r2
692,work begin 2009-07-30 07:27:43.020989 r2,work begin 2009-07-30 08:28:00.022428 r2
693,work begin 2009-07-30 08:28:00.022428 r2,work begin 2009-07-30 17:53:09.067573 r2
694,work begin 2009-07-30 17:53:09.067573 r2,work begin 2009-07-30 17:53:42.032881 r2
695,work begin 2009-07-30 17:53:42.032881 r2,work begin 2009-07-30 19:20:03.081057 r2
696,work begin 2009-07-30 19:20:03.081057 r2,work begin 2009-07-30 20:00:14.036554 r2
697,work begin 2009-07-30 20:00:14.036554 r2,work begin 2009-07-30 20:04:36.034646 r2
698,work begin 2009-07-30 20:04:36.034646 r2,work begin 2009-07-30 20:11:03.045988 r2
699,work begin 2009-07-30 20:11:03.045988 r2,work begin 2009-07-30 20:11:51.053742 r2
700,work begin 2009-07-30 20:11:51.053742 r2,work begin 2009-07-30 20:17:44.071835 r2
701,work begin 2009-07-30 20:17:44.071835 r2,work begin 2009-07-30 20:41:02.091636 r2
702,work begin 2009-07-30 20:41:02.091636 r2,work begin 2009-07-30 22:33:11.004069 r2
703,work begin 2009-07-30 22:33:11.004069 r2,work begin 2009-07-31 00:34:39.090481 r2
704,work begin 2009-07-31 00:34:39.090481 r2,sleep begin 2009-07-31 01:01:24.084677 r2
705,sleep begin 2009-07-31 01:01:24.084677 r2,wakeup begin 2009-07-31 06:55:03.098467 r2
706,wakeup begin 2009-07-31 06:55:03.098467 r2,shower begin 2009-07-31 07:33:48.023823 r2
707,shower begin 2009-07-31 07:33:48.023823 r2,work begin 2009-07-31 08:32:51.018102 r2
708,work begin 2009-07-31 08:32:51.018102 r2,work begin 2009-07-31 14:25:02.008534 r2
709,work begin 2009-07-31 14:25:02.008534 r2,work begin 2009-07-31 14:27:36.019057 r2
710,work begin 2009-07-31 14:27:36.019057 r2,work begin 2009-07-31 14:42:03.019658 r2
711,work begin 2009-07-31 14:42:03.019658 r2,work begin 2009-07-31 16:12:30.004592 r2
712,work begin 2009-07-31 16:12:30.004592 r2,work begin 2009-07-31 16:48:06.026535 r2
713,work begin 2009-07-31 16:48:06.026535 r2,work begin 2009-07-31 17:36:13.006995 r2
714,work begin 2009-07-31 17:36:13.006995 r2,sleep begin 2009-08-24 00:15:25.059479 r2
715,sleep begin 2009-08-24 00:15:25.059479 r2,personal_hygiene begin 2009-08-24 07:07:57.081426 r2
716,personal_hygiene begin 2009-08-24 07:07:57.081426 r2,sleep begin 2009-08-24 07:11:07.052461 r2
717,sleep begin 2009-08-24 07:11:07.052461 r2,wandering_in_room begin 2009-08-24 07:43:21.019996 r2
718,wandering_in_room begin 2009-08-24 07:43:21.019996 r2,meal_preparation begin 2009-08-24 07:47:34.061355 r2
719,meal_preparation begin 2009-08-24 07:47:34.061355 r2,eating begin 2009-08-24 07:54:14.034586 r2
720,eating begin 2009-08-24 07:54:14.034586 r2,personal_hygiene begin 2009-08-24 08:10:56.077488 r2
721,personal_hygiene begin 2009-08-24 08:10:56.077488 r2,work begin 2009-08-24 08:17:06.018025 r2
722,work begin 2009-08-24 08:17:06.018025 r2,personal_hygiene begin 2009-08-24 08:32:22.009457 r2
723,personal_hygiene begin 2009-08-24 08:32:22.009457 r2,bathing begin 2009-08-24 08:35:18.024739 r2
724,bathing begin 2009-08-24 08:35:18.024739 r2,meal_preparation begin 2009-08-24 09:29:08.066022 r2
725,meal_preparation begin 2009-08-24 09:29:08.066022 r2,leave_home begin 2009-08-24 09:31:00.098351 r2
726,leave_home begin 2009-08-24 09:31:00.098351 r2,work begin 2009-08-24 23:00:02.029419 r2
727,work begin 2009-08-24 23:00:02.029419 r2,work begin 2009-08-24 23:20:00.004227 r2
728,work begin 2009-08-24 23:20:00.004227 r2,sleep begin 2009-08-24 23:30:02.064724 r2
729,sleep begin 2009-08-24 23:30:02.064724 r2,personal_hygiene begin 2009-08-25 07:14:50.041358 r2
730,personal_hygiene begin 2009-08-25 07:14:50.041358 r2,meal_preparation begin 2009-08-25 07:19:29.008113 r2
731,meal_preparation begin 2009-08-25 07:19:29.008113 r2,eating begin 2009-08-25 07:25:22.099969 r2
732,eating begin 2009-08-25 07:25:22.099969 r2,personal_hygiene begin 2009-08-25 07:38:31.029339 r2
733,personal_hygiene begin 2009-08-25 07:38:31.029339 r2,bathing begin 2009-08-25 07:40:52.075357 r2
734,bathing begin 2009-08-25 07:40:52.075357 r2,personal_hygiene begin 2009-08-25 08:23:40.093363 r2
735,personal_hygiene begin 2009-08-25 08:23:40.093363 r2,personal_hygiene begin 2009-08-25 08:25:23.072916 r2
736,personal_hygiene begin 2009-08-25 08:25:23.072916 r2,work begin 2009-08-25 08:29:49.075214 r2
737,work begin 2009-08-25 08:29:49.075214 r2,personal_hygiene begin 2009-08-25 08:34:38.060208 r2
738,personal_hygiene begin 2009-08-25 08:34:38.060208 r2,personal_hygiene begin 2009-08-25 08:36:06.052286 r2
739,personal_hygiene begin 2009-08-25 08:36:06.052286 r2,work begin 2009-08-25 08:36:44.045038 r2
740,work begin 2009-08-25 08:36:44.045038 r2,sleep begin 2009-08-25 23:56:07.026447 r2
741,sleep begin 2009-08-25 23:56:07.026447 r2,personal_hygiene begin 2009-08-26 07:48:38.036389 r2
742,personal_hygiene begin 2009-08-26 07:48:38.036389 r2,meal_preparation begin 2009-08-26 07:52:20.095894 r2
743,meal_preparation begin 2009-08-26 07:52:20.095894 r2,meal_preparation begin 2009-08-26 08:20:29.035209 r2
744,meal_preparation begin 2009-08-26 08:20:29.035209 r2,eating begin 2009-08-26 08:24:08.021625 r2
745,eating begin 2009-08-26 08:24:08.021625 r2,watch_tv begin 2009-08-26 08:37:56.070602 r2
746,watch_tv begin 2009-08-26 08:37:56.070602 r2,personal_hygiene begin 2009-08-26 08:58:58.036384 r2
747,personal_hygiene begin 2009-08-26 08:58:58.036384 r2,sleep begin 2009-08-26 23:03:41.065008 r2
748,sleep begin 2009-08-26 23:03:41.065008 r2,personal_hygiene begin 2009-08-27 07:22:38.044295 r2
749,personal_hygiene begin 2009-08-27 07:22:38.044295 r2,meal_preparation begin 2009-08-27 07:25:26.071647 r2
750,meal_preparation begin 2009-08-27 07:25:26.071647 r2,watch_tv begin 2009-08-27 07:28:00.078986 r2
751,watch_tv begin 2009-08-27 07:28:00.078986 r2,personal_hygiene begin 2009-08-27 07:44:12.079891 r2
752,personal_hygiene begin 2009-08-27 07:44:12.079891 r2,work begin 2009-08-27 08:18:45.082392 r2
753,work begin 2009-08-27 08:18:45.082392 r2,leave_home begin 2009-08-27 08:37:12.092231 r2
754,leave_home begin 2009-08-27 08:37:12.092231 r2,sleep begin 2009-08-27 23:00:47.056332 r2
755,sleep begin 2009-08-27 23:00:47.056332 r2,personal_hygiene begin 2009-08-28 07:57:48.018626 r2
756,personal_hygiene begin 2009-08-28 07:57:48.018626 r2,work begin 2009-08-28 08:00:08.045234 r2
757,work begin 2009-08-28 08:00:08.045234 r2,meal_preparation begin 2009-08-28 08:03:13.073331 r2
758,meal_preparation begin 2009-08-28 08:03:13.073331 r2,eating begin 2009-08-28 08:08:09.044363 r2
759,eating begin 2009-08-28 08:08:09.044363 r2,watch_tv begin 2009-08-28 08:08:10.012188 r2
760,watch_tv begin 2009-08-28 08:08:10.012188 r2,personal_hygiene begin 2009-08-28 08:30:25.078039 r2
761,personal_hygiene begin 2009-08-28 08:30:25.078039 r2,bathing begin 2009-08-28 08:32:00.020435 r2
762,bathing begin 2009-08-28 08:32:00.020435 r2,sleep begin 2009-08-28 23:00:29.067201 r2
763,sleep begin 2009-08-28 23:00:29.067201 r2,bed_toilet_transition begin 2009-08-29 03:14:04.037858 r2
764,bed_toilet_transition begin 2009-08-29 03:14:04.037858 r2,sleep begin 2009-08-29 03:17:07.090251 r2
765,sleep begin 2009-08-29 03:17:07.090251 r2,sleep begin 2009-08-29 23:04:41.099454 r2
766,sleep begin 2009-08-29 23:04:41.099454 r2,sleep begin 2009-08-29 23:37:22.050402 r2
767,sleep begin 2009-08-29 23:37:22.050402 r2,work begin 2009-08-30 23:00:00.033379 r2
768,work begin 2009-08-30 23:00:00.033379 r2,work begin 2009-08-30 23:02:20.001301 r2
769,work begin 2009-08-30 23:02:20.001301 r2,sleep begin 2009-08-30 23:06:28.039985 r2
770,sleep begin 2009-08-30 23:06:28.039985 r2,personal_hygiene begin 2009-08-31 08:07:12.060005 r2
771,personal_hygiene begin 2009-08-31 08:07:12.060005 r2,wandering_in_room begin 2009-08-31 08:09:01.069811 r2
772,wandering_in_room begin 2009-08-31 08:09:01.069811 r2,personal_hygiene begin 2009-08-31 08:28:18.076623 r2
773,personal_hygiene begin 2009-08-31 08:28:18.076623 r2,bathing begin 2009-08-31 08:29:43.052879 r2
774,bathing begin 2009-08-31 08:29:43.052879 r2,work begin 2009-08-31 08:46:57.078585 r2
775,work begin 2009-08-31 08:46:57.078585 r2,meal_preparation begin 2009-08-31 08:56:03.083452 r2
776,meal_preparation begin 2009-08-31 08:56:03.083452 r2,sleep begin 2009-09-01 00:05:44.040443 r2
777,sleep begin 2009-09-01 00:05:44.040443 r2,bed_toilet_transition begin 2009-09-01 02:52:32.055162 r2
778,bed_toilet_transition begin 2009-09-01 02:52:32.055162 r2,sleep begin 2009-09-01 02:54:10.076264 r2
779,sleep begin 2009-09-01 02:54:10.076264 r2,personal_hygiene begin 2009-09-01 07:24:04.069377 r2
780,personal_hygiene begin 2009-09-01 07:24:04.069377 r2,meal_preparation begin 2009-09-01 07:26:00.006281 r2
781,meal_preparation begin 2009-09-01 07:26:00.006281 r2,eating begin 2009-09-01 07:27:44.059384 r2
782,eating begin 2009-09-01 07:27:44.059384 r2,watch_tv begin 2009-09-01 07:27:45.004067 r2
783,watch_tv begin 2009-09-01 07:27:45.004067 r2,personal_hygiene begin 2009-09-01 07:54:11.098659 r2
